,AN,G,P,AM,EN,R,IE,MP,BP,D,SAN,SAM,SEN,SR,SIE,SMP,SBP,SD,H,CBM,VBM,ECOH,WF
Tc_F,43,7,5,96.90636,1.9,1.83,7.28,2430,4538,11,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Ru_F,44,8,5,101.1,2.2,1.78,7.361,2607,4423,12.1,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Rh_F,45,9,5,102.9055,2.28,1.73,7.459,2237,3968,12.4,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Pd_F,46,10,5,106.42,2.2,1.69,8.337,1828.05,3236,12,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Ag_F,47,11,5,107.868,1.93,1.65,7.576,1234.93,2435,10.501,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Cd_F,48,12,5,112.41,1.69,1.61,8.994,594.22,1040,8.69,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Lu_F,71,3,6,174.9668,1.27,2.17,5.426,1936,3675,9.84,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Hf_F,72,4,6,178.49,1.3,2.08,6.825,2506,4876,13.3,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Ta_F,73,5,6,180.9479,1.5,0,7.89,3290,5731,16.4,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
W_F,74,6,6,183.84,2.36,1.93,7.98,3695,5828,19.3,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
